,rating,imdb_id,votes
0,6.5,tt0094862,65827
1,5.7,tt0099253,33458
2,5.0,tt0103956,26577
3,5.4,tt0144120,41712
4,4.9,tt0387575,30139
5,5.6,tt2230358,24885
6,8.2,tt0095016,632420
7,7.1,tt0099423,283823
8,7.6,tt0112864,312744
9,7.2,tt0337978,347866
10,5.3,tt1606378,172998
11,6.7,tt0232500,289807
12,5.9,tt0322259,206190
13,6.0,tt0463985,193928
14,6.6,tt1013752,217861
15,7.3,tt1596343,301330
16,7.1,tt1905041,318559
17,7.2,tt2820852,301927
18,7.1,tt4630562,82195
19,6.7,tt0195714,190338
20,6.2,tt0309593,126766
21,5.8,tt0414982,108387
22,5.2,tt1144884,79538
23,5.9,tt1622979,88121
24,6.5,tt0080761,89096
25,6.1,tt0082418,42799
26,5.7,tt0083972,34526
27,5.9,tt0087298,31892
28,4.8,tt0089173,24154
29,5.9,tt0091080,27328
30,5.3,tt0095179,23132
31,4.6,tt0097388,24670
32,4.3,tt0107254,20678
33,4.4,tt0211443,41056
34,5.8,tt0329101,93212
35,7.1,tt0117060,317281
36,6.1,tt0120755,255698
37,6.9,tt0317919,270741
38,7.4,tt1229238,382842
39,7.4,tt2381249,257925
40,7.5,tt0087800,160283
41,5.4,tt0089686,46686
42,6.6,tt0093629,53504
43,5.7,tt0095742,38670
44,5.1,tt0097981,31689
45,4.9,tt0101917,32743
46,6.4,tt0111686,40470
47,5.8,tt0329101,93212
48,6.7,tt0087928,92541
49,5.6,tt0089822,41590
50,5.2,tt0091777,34635
51,4.8,tt0093756,33215
52,4.4,tt0095882,26882
53,4.2,tt0098105,23172
54,3.3,tt0110857,26171
55,6.7,tt0120804,212408
56,6.2,tt0318627,162201
57,6.3,tt0432021,159984
58,5.9,tt1220634,141110
59,5.4,tt1855325,114349
60,5.6,tt2592614,47422
61,8.1,tt0075148,406949
62,7.2,tt0079817,148787
63,6.7,tt0084602,133887
64,6.8,tt0089927,145486
65,5.2,tt0100507,99910
66,7.2,tt0479143,171544
67,7.6,tt3076658,176080
68,7.7,tt0387564,315628
69,6.6,tt0432348,197217
70,6.2,tt0489270,149145
71,5.9,tt0890870,116715
72,5.8,tt1132626,93516
73,6.0,tt1233227,80917
74,5.6,tt1477076,72063
75,6.4,tt0079945,67186
76,7.7,tt0084726,95731
77,6.6,tt0088170,62008
78,7.3,tt0092007,65109
79,5.4,tt0098382,46363
80,7.2,tt0102975,58492
81,6.5,tt0462590,96080
82,6.2,tt1023481,70767
83,6.2,tt1193631,49424
84,6.5,tt1800741,47569
85,6.0,tt2626350,27247
